Name,Position,Age,Club,Height,Foot,Caps,Goals,MarketValue,Country,Height_m
Kieran Trippier,Right-Back,33,Newcastle United,173,right,48,1,10000000,England,1.73
Declan Rice,Defensive Midfield,25,Arsenal FC,188,right,51,3,120000000,England,1.88
Conor Gallagher,Central Midfield,24,Chelsea FC,182,right,13,0,50000000,England,1.82
Kobbie Mainoo,Central Midfield,19,Manchester United,175,right,3,0,50000000,England,1.75
Adam Wharton,Central Midfield,20,Crystal Palace,182,left,1,0,30000000,England,1.82
Jude Bellingham,Attacking Midfield,20,Real Madrid,186,right,29,3,180000000,England,1.86
Cole Palmer,Attacking Midfield,22,Chelsea FC,189,left,4,1,80000000,England,1.89
Eberechi Eze,Attacking Midfield,25,Crystal Palace,178,right,4,0,55000000,England,1.78
Anthony Gordon,Left Winger,23,Newcastle United,182,right,3,0,60000000,England,1.82
Phil Foden,Right Winger,24,Manchester City,171,left,34,4,150000000,England,1.71
Bukayo Saka,Right Winger,22,Arsenal FC,178,left,33,11,140000000,England,1.78
Jarrod Bowen,Right Winger,27,West Ham United,175,left,8,0,50000000,England,1.75
Harry Kane,Centre-Forward,30,Bayern Munich,188,right,91,63,100000000,England,1.88
Ollie Watkins,Centre-Forward,28,Aston Villa,180,right,12,3,65000000,England,1.8
Ivan Toney,Centre-Forward,28,Brentford FC,185,right,3,1,50000000,England,1.85
Mads Hermansen,Goalkeeper,23,Leicester City,187,right,0,0,9000000,Denmark,1.87
Frederik Rönnow,Goalkeeper,31,1.FC Union Berlin,188,right,10,0,4500000,Denmark,1.88
Kasper Schmeichel,Goalkeeper,37,RSC Anderlecht,189,right,100,0,1000000,Denmark,1.89
Andreas Christensen,Centre-Back,28,FC Barcelona,187,right,69,3,40000000,Denmark,1.87
Joachim Andersen,Centre-Back,28,Crystal Palace,192,right,31,0,35000000,Denmark,1.92
Jannik Vestergaard,Centre-Back,31,Leicester City,199,both,40,2,3000000,Denmark,1.99
Simon Kjær,Centre-Back,35,AC Milan,191,right,131,5,1500000,Denmark,1.91
Zanka,Centre-Back,34,Brentford FC,189,right,37,2,1000000,Denmark,1.89
Victor Kristiansen,Left-Back,21,Bologna FC 1909,181,left,7,0,15000000,Denmark,1.81
Joakim Maehle,Right-Back,27,VfL Wolfsburg,185,right,44,11,14000000,Denmark,1.85
Alexander Bah,Right-Back,26,SL Benfica,183,right,10,1,13000000,Denmark,1.83
Rasmus Kristensen,Right-Back,26,AS Roma,187,right,21,0,10000000,Denmark,1.87
Morten Hjulmand,Defensive Midfield,24,Sporting CP,185,right,6,0,40000000,Denmark,1.85
Christian Nørgaard,Defensive Midfield,30,Brentford FC,187,right,25,1,18000000,Denmark,1.87
Pierre-Emile Højbjerg,Defensive Midfield,28,Tottenham Hotspur,185,right,76,9,18000000,Denmark,1.85
Mathias Jensen,Central Midfield,28,Brentford FC,180,right,30,1,28000000,Denmark,1.8
Christian Eriksen,Central Midfield,32,Manchester United,182,right,129,41,8000000,Denmark,1.82
Thomas Delaney,Central Midfield,32,RSC Anderlecht,182,left,77,8,2500000,Denmark,1.82
Mikkel Damsgaard,Left Winger,23,Brentford FC,180,right,26,4,10000000,Denmark,1.8
Jacob Bruun Larsen,Left Winger,25,Burnley FC,183,right,6,1,8000000,Denmark,1.83
Andreas Skov Olsen,Right Winger,24,Club Brugge KV,187,left,29,8,18000000,Denmark,1.87
Anders Dreyer,Right Winger,26,RSC Anderlecht,174,left,3,0,15000000,Denmark,1.74
Rasmus Højlund,Centre-Forward,21,Manchester United,191,left,13,7,65000000,Denmark,1.91
Jonas Wind,Centre-Forward,25,VfL Wolfsburg,190,right,27,8,20000000,Denmark,1.9
Kasper Dolberg,Centre-Forward,26,RSC Anderlecht,187,right,46,11,12000000,Denmark,1.87
Yussuf Poulsen,Centre-Forward,29,RB Leipzig,192,right,78,12,6000000,Denmark,1.92
Djordje Petrovic,Goalkeeper,24,Chelsea FC,194,right,3,0,20000000,Serbia,1.94
Predrag Rajkovic,Goalkeeper,28,RCD Mallorca,191,right,31,0,10000000,Serbia,1.91
